sample  ,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,tumor,cell_line,E2_status
Adrenal.22,80034,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,116835,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100861519,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,2324,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,2636,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100859921,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,4920,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,347273,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,22854,3.727943926,3.784024744,3.393555569,0.013399905,0.999954013,Adrenal,MCF7,E2
Adrenal.22,56896,3.727943926,3.784024744,3.393555569,0.013399905,0.999954013,Adrenal,MCF7,E2
Adrenal.22,144321,3.71860183,3.842083781,2.407409943,0.024098946,0.999954013,Adrenal,MCF7,E2
Adrenal.22,55889,3.714567742,3.797830543,2.877649985,0.017924664,0.999954013,Adrenal,MCF7,E2
Adrenal.22,342096,3.702356601,3.769300962,3.141354758,0.015743044,0.999954013,Adrenal,MCF7,E2
Adrenal.22,2078,3.70082579,3.784024744,2.866323905,0.018359195,0.999954013,Adrenal,MCF7,E2
Adrenal.22,131034,3.69058701,3.746550038,3.361554909,0.014344489,0.999954013,Adrenal,MCF7,E2
Adrenal.22,114792,3.676826127,3.838472528,2.070607333,0.032206758,0.999954013,Adrenal,MCF7,E2
Adrenal.22,642924,3.676826127,3.838472528,2.070607333,0.032206758,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100132529,3.672942856,3.756010368,2.843404087,0.019270022,0.999954013,Adrenal,MCF7,E2
Adrenal.22,56944,3.644510391,3.727441216,2.820117892,0.020240255,0.999954013,Adrenal,MCF7,E2
Adrenal.22,150,3.644510391,3.727441216,2.820117892,0.020240255,0.999954013,Adrenal,MCF7,E2
Adrenal.22,256764,3.644510391,3.727441216,2.820117892,0.020240255,0.999954013,Adrenal,MCF7,E2
Adrenal.22,221711,3.644510391,3.727441216,2.820117892,0.020240255,0.999954013,Adrenal,MCF7,E2
Adrenal.22,140803,3.644510391,3.727441216,2.820117892,0.020240255,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3766,3.622872713,3.784024744,2.030787441,0.035024542,0.999954013,Adrenal,MCF7,E2
Adrenal.22,283375,3.622872713,3.784024744,2.030787441,0.035024542,0.999954013,Adrenal,MCF7,E2
Adrenal.22,84101,3.622872713,3.784024744,2.030787441,0.035024542,0.999954013,Adrenal,MCF7,E2
Adrenal.22,285352,3.622872713,3.784024744,2.030787441,0.035024542,0.999954013,Adrenal,MCF7,E2
