genes,logFC
3651,5.714463197
4584,5.644964376
115572,5.621658052
3852,5.621658052
117157,5.522470025
11166,5.497299417
83881,5.463002884
105376066,5.364703625
219287,5.300946355
105371417,5.1998376
84530,5.175968042
8170,5.175968042
147719,5.175968042
5948,5.175968042
1266,5.039127322
6496,4.96551033
542767,4.960861465
10202,4.941050496
105373990,4.896046811
344387,4.839566943
101154753,4.824677185
6853,4.824677185
388701,4.719020369
283463,4.719020369
9256,4.719020369
100113379,4.719020369
101929567,4.690068675
101928909,4.606392768
23109,4.527674701
283375,4.527674701
388115,4.527674701
10350,4.527674701
401014,4.527674701
339967,4.527674701
9429,4.527674701
4017,4.527674701
10151,4.499229039
388468,4.499229039
150209,4.364913855
259296,4.334071268
285103,4.32862014
388698,4.307013007
6688,4.307013007
2904,4.307013007
2103,4.307013007
283777,4.307013007
165545,4.307013007
6570,4.307013007
1417,4.301071788
375323,4.301071788
100616354,4.164231068
155382,4.164231068
137902,4.164231068
54457,4.164231068
653641,4.116551012
2212,4.097349359
283150,4.097349359
1113,4.097349359
101929998,4.097349359
100874195,4.090614076
84072,4.046398137
79098,4.046398137
55432,4.046398137
1380,4.046398137
144571,4.046398137
5744,4.046398137
254013,4.046398137
101929121,4.046398137
163154,4.046398137
151306,4.046398137
101929591,4.046398137
100,4.046398137
284837,4.046398137
339855,4.046398137
7368,4.046398137
100507341,4.046398137
642924,4.046398137
2152,4.013037655
2153,4.013037655
645191,4.013037655
100500828,4.013037655
751580,4.013037655
440299,3.958841202
353322,3.938722466
57636,3.896005816
909,3.844124115
101927286,3.844124115
23495,3.844124115
116844,3.844124115
100847048,3.844124115
8632,3.823006031
105376526,3.810463078
27296,3.790830097
5358,3.770929787
348174,3.768845161
57010,3.760343263
101927282,3.760343263
54361,3.728091754
1579,3.728091754
388630,3.728091754
100423032,3.728091754
5741,3.728091754
4322,3.728091754
101928290,3.728091754
102723641,3.728091754
100129503,3.728091754
282618,3.728091754
728,3.728091754
375189,3.728091754
101929335,3.728091754
103695433,3.728091754
90113,3.728091754
63973,3.728091754
140767,3.728091754
101927288,3.728091754
221981,3.728091754
103021165,3.728091754
158314,3.728091754
5030,3.728091754
29935,3.728091754
101927102,3.714443946
57514,3.685457531
387911,3.67980568
78997,3.665486582
57822,3.652778447
116496,3.652778447
9911,3.652778447
8110,3.623502543
147807,3.623502543
100506286,3.623502543
100873986,3.607929769
146177,3.591678294
100996761,3.551083007
6459,3.531895951
3563,3.505458063
102723320,3.492920276
91179,3.47230913
26468,3.47230913
9362,3.432116753
84684,3.432116753
326624,3.432116753
333,3.432116753
6474,3.432116753
7036,3.432116753
800,3.432116753
105370641,3.406270037
2784,3.401982963
100130100,3.397614672
398,3.367941963
246181,3.324696457
101927402,3.307686163
23566,3.30339559
64377,3.30339559
5452,3.30339559
57333,3.30339559
1950,3.30339559
652995,3.29975586
254559,3.296629311
57657,3.279052647
161497,3.2755629
101927233,3.265580618
118430,3.231101243
81848,3.231101243
1636,3.221526406
128102,3.210892723
440730,3.210892723
161142,3.184746366
10071,3.133443955
10873,3.120867955
51083,3.112049922
9056,3.112049922
100505715,3.112049922
399833,3.093894618
10435,3.07990783
23089,3.07990783
10663,3.066524333
400746,3.059768053
54033,3.059768053
11172,3.059768053
3827,3.036411121
346157,3.035912565
4578,2.97881146
257106,2.949418129
101927217,2.936724539
51555,2.93095481
100996624,2.922927333
151827,2.922927333
105377210,2.922927333
100422830,2.84826647
84069,2.839852834
752014,2.839852834
5892,2.810015764
4575,2.789443875
4564,2.699825609
57575,-2.908239321
100169758,-2.921209785
100169759,-2.923848076
1646,-2.93343504
100169753,-2.994803906
100169754,-2.994803906
100169755,-2.996189487
100507321,-2.997006988
100169756,-2.997951032
100169757,-2.997951032
100169751,-3.057895095
9902,-3.065562266
10057,-3.088756377
64393,-3.125223017
91661,-3.153398381
6657,-3.162985398
5337,-3.243544248
28973,-3.261411627
9675,-3.26235429
132430,-3.266821939
54903,-3.280922236
23270,-3.328118525
594,-3.404608243
55188,-3.406086796
92105,-3.408835344
9331,-3.422500177
29062,-3.422500177
2273,-3.486347763
284252,-3.496616272
23007,-3.517242288
8743,-3.517242288
390916,-3.537950645
114796,-3.54748907
100507118,-3.577114715
8625,-3.581201817
9562,-3.60614422
51318,-3.624096801
51255,-3.634601104
401261,-3.634601104
126017,-3.660294766
55929,-3.662507522
4750,-3.662507522
55916,-3.662507522
91869,-3.689884367
139065,-3.689884367
10179,-3.716751364
84057,-3.716751364
55788,-3.716751364
64754,-3.743127156
84792,-3.743127156
3760,-3.775810133
56125,-3.797542954
1773,-3.803547142
991,-3.819479095
148327,-3.880157256
84548,-3.897416032
221656,-3.901123656
4117,-3.915375767
161835,-3.994355523
55734,-4.130462534
222235,-4.217557811
10084,-4.282067491
658,-4.402794517
100131434,-4.499952738
7138,-4.514194402
5911,-4.559424026
166979,-4.753554055
1281,-5.516495852
25870,-5.605442432
57393,7.543594866
100129518,7.440400784
1041,7.141776687
6414,7.051987335
6273,7.013737668
259296,6.972384909
100506826,6.91483304
2775,6.651777873
60468,6.651777873
4856,6.651777873
101928635,6.54220736
5003,6.516761369
101930452,6.429842996
101927581,6.429842996
100422976,6.310626068
80070,6.310626068
390595,6.167448908
79690,6.167448908
389641,6.167448908
10218,6.153785027
83733,6.040178546
344387,5.989178665
113179,5.939974011
100129075,5.914793378
3852,5.846480758
100506068,5.846480758
57692,5.846480758
1307,5.79687684
9148,5.767110123
100189393,5.654520964
5146,5.651756213
23581,5.625675258
100506606,5.574941963
800,5.574941963
606495,5.508545836
100874201,5.436635287
23281,5.433041748
56853,5.433041748
7216,5.433041748
56971,5.389042358
6791,5.356611773
100847012,5.345959052
11117,5.312547875
285598,5.312547875
3400,5.293995212
8605,5.263715463
53833,5.263715463
344807,5.243738897
81893,5.237252925
3371,5.206280311
387638,5.200965974
